"","Player","Team","Salary","Position"
"420","Dante Cunningham","New Orleans Pelicans","$716,043","PF"
"421","Malcolm Lee","Philadelphia 76ers","$710,659","SG"
"422","Darius Morris","Brooklyn Nets","$702,756","PG"
"423","Spencer Dinwiddie","Detroit Pistons","$700,000","PG"
"424","Malcolm Thomas","Philadelphia 76ers","$635,827","PF"
"425","Gal Mekel","New Orleans Pelicans","$633,974","PG"
"426","Johnny O'Bryant III","Milwaukee Bucks","$600,000","PF"
"427","JaKarr Sampson","Philadelphia 76ers","$507,336","SG"
"428","Pierre Jackson","Philadelphia 76ers","$507,336","PG"
"429","Sim Bhullar","Sacramento Kings","$507,336","C"
"431","James Ennis","Miami Heat","$507,336","SF"
"432","Russ Smith","Memphis Grizzlies","$507,336","PG"
"433","Cory Jefferson","Brooklyn Nets","$507,336","PF"
"434","Patric Young","New Orleans Pelicans","$507,336","PF"
"435","Will Cherry","Cleveland Cavaliers","$495,399","PG"
"436","Kalin Lucas","Memphis Grizzlies","$486,446","PG"
"437","Drew Gordon","Philadelphia 76ers","$468,540","C"
"438","Kenyon Martin","Milwaukee Bucks","$414,551","PF"
"439","Lou Amundson","New York Knicks","$409,167","PF"
"440","Lance Thomas","Oklahoma City Thunder","$403,784","SF"
"442","Dahntay Jones","Los Angeles Clippers","$387,632","SG"
"443","Patrick Christopher","Utah Jazz","$379,010","SG"
"444","Ronald Roberts Jr.","Toronto Raptors","$373,041","PF"
"445","Reggie Williams","San Antonio Spurs","$344,036","SF"
"446","Amar'e Stoudemire","New York Knicks","$306,876","PF"
"447","Lorenzo Brown","Minnesota Timberwolves","$283,367","PG"
"448","Kendrick Perkins","Oklahoma City Thunder","$274,573","C"
"449","John Lucas III","Detroit Pistons","$269,189","PG"
"450","Elijah Millsap","Utah Jazz","$241,731","SG"
"451","Bernard James","Dallas Mavericks","$236,886","C"
"453","Langston Galloway","New York Knicks","$235,762","SG"
"454","Tyler Johnson","Miami Heat","$199,950","SG"
"455","Henry Walker","Miami Heat","$196,217","SF"
"456","Michael Beasley","Miami Heat","$195,440","SF"
"457","Quincy Miller","Sacramento Kings","$183,049","SF"
"458","Earl Barron","Phoenix Suns","$183,049","C"
"459","James Michael McAdoo","Golden State Warriors","$167,122","SF"
"460","Jordan Hamilton","Los Angeles Clippers","$150,591","SG"
"461","JaMychal Green","Memphis Grizzlies","$134,295","PF"
"462","Elliot Williams","Utah Jazz","$107,676","SG"
"464","Toney Douglas","New Orleans Pelicans","$107,676","PG"
"465","Chris Johnson","Utah Jazz","$107,676","SF"
"466","Nate Robinson","Los Angeles Clippers","$107,676","PG"
"467","Toure' Murry","Washington Wizards","$96,056","SF"
"468","Jorge Gutierrez","Brooklyn Nets","$96,056","PG"
"469","Bryce Cotton","Utah Jazz","$92,514","PG"
"470","Jabari Brown","Los Angeles Lakers","$59,686","SG"
"471","Tim Frazier","Portland Trail Blazers","$59,686","PG"
"472","Jack Cooley","Utah Jazz","$59,686","SF"
"473","Tyrus Thomas","Memphis Grizzlies","$53,838","PF"
"475","A.J. Price","Phoenix Suns","$53,838","PG"
"476","Austin Daye","San Antonio Spurs","$53,838","SF"
"477","Seth Curry","Phoenix Suns","$48,028","SG"
"478","Ricky Ledo","New York Knicks","$48,028","SG"
"479","Andre Dawkins","Miami Heat","$29,843","SG"
"480","David Stockton","Sacramento Kings","$29,483","PG"
