"","Player","Position","Team","Salary14-15"
"248","Joffrey Lauvergne",", C","Denver Nuggets","$1,790,281"
"251","Jusuf Nurkic",", C","Denver Nuggets","$1,762,680"
"266","Gary Harris",", SG","Denver Nuggets","$1,519,200"
"312","Ty Lawson",", PG","Denver Nuggets","$11,595,506"
"318","Danilo Gallinari",", SF","Denver Nuggets","$10,854,850"
"72","Jodie Meeks",", SG","Detroit Pistons","$6,000,000"
"82","Greg Monroe",", C","Detroit Pistons","$5,479,934"
"115","Caron Butler",", SF","Detroit Pistons","$4,500,000"
"116","Jonas Jerebko",", PF","Detroit Pistons","$4,500,000"
"139","Joel Anthony",", C","Detroit Pistons","$3,800,000"
"191","Kentavious Caldwell-Pope",", SG","Detroit Pistons","$2,772,480"
"202","Andre Drummond",", C","Detroit Pistons","$2,568,360"
"252","Luigi Datome",", SF","Detroit Pistons","$1,750,000"
"293","Hasheem Thabeet",", C","Detroit Pistons","$1,250,000"
"296","Aaron Gray",", C","Detroit Pistons","$1,227,985"
"308","Cartier Martin",", PF","Detroit Pistons","$1,145,685"
"423","Spencer Dinwiddie",", PG","Detroit Pistons","$700,000"
"449","John Lucas III",", PG","Detroit Pistons","$269,189"
"60","Jason Richardson",", SG","Philadelphia 76ers","$6,601,125"
"94","Keith Bogans",", SG","Philadelphia 76ers","$5,285,817"
"118","Joel Embiid",", C","Philadelphia 76ers","$4,427,640"
"119","Luc Richard Mbah a Moute",", PF","Philadelphia 76ers","$4,382,576"
"159","Nerlens Noel",", PF","Philadelphia 76ers","$3,315,120"
"161","Alexey Shved",", PG","Philadelphia 76ers","$3,282,056"
"184","Furkan Aldemir",", PF","Philadelphia 76ers","$2,963,232"
"214","Michael Carter-Williams",", PG","Philadelphia 76ers","$2,300,040"
"300","Tony Wroten",", SG","Philadelphia 76ers","$1,210,080"
"316","JaVale McGee",", C","Philadelphia 76ers","$11,250,000"
"357","Marquis Teague",", PG","Philadelphia 76ers","$1,120,920"
"367","Robert Covington",", SF","Philadelphia 76ers","$1,000,000"
"395","Jerami Grant",", SF","Philadelphia 76ers","$884,879"
"402","Isaiah Canaan",", PG","Philadelphia 76ers","$816,842"
"421","Malcolm Lee",", SG","Philadelphia 76ers","$710,659"
"424","Malcolm Thomas",", PF","Philadelphia 76ers","$635,827"
"427","JaKarr Sampson",", SG","Philadelphia 76ers","$507,336"
"428","Pierre Jackson",", PG","Philadelphia 76ers","$507,336"
"437","Drew Gordon",", C","Philadelphia 76ers","$468,540"
"95","Zaza Pachulia",", C","Milwaukee Bucks","$5,200,000"
"103","Jabari Parker",", PF","Milwaukee Bucks","$4,930,560"
"120","Jared Dudley",", SG","Milwaukee Bucks","$4,250,000"
"238","John Henson",", PF","Milwaukee Bucks","$1,987,320"
"242","Giannis Antetokounmpo",", SF","Milwaukee Bucks","$1,873,200"
"286","Josh Powell",", PF","Milwaukee Bucks","$1,310,286"
"317","Larry Sanders",", C","Milwaukee Bucks","$11,000,000"
"345","O.J. Mayo",", SG","Milwaukee Bucks","$8,000,000"
"348","Ersan Ilyasova",", PF","Milwaukee Bucks","$7,900,000"
"401","Damien Inglis",", SF","Milwaukee Bucks","$820,000"
"426","Johnny O'Bryant III",", PF","Milwaukee Bucks","$600,000"
"438","Kenyon Martin",", PF","Milwaukee Bucks","$414,551"
"102","Victor Oladipo",", SG","Orlando Magic","$4,978,200"
"131","Aaron Gordon",", PF","Orlando Magic","$3,992,040"
"192","Nikola Vucevic",", C","Orlando Magic","$2,751,260"
"193","Luke Ridnour",", PG","Orlando Magic","$2,750,000"
